n_hor,n_ver,n_tot,eta,S
134,198,332,0.6484375,-0.19277108
154,193,347,0.67773438,-0.11239193
175,166,341,0.66601562,0.026392962
140,200,340,0.6640625,-0.17647059
118,222,340,0.6640625,-0.30588235
101,242,343,0.66992188,-0.41107872
78,262,340,0.6640625,-0.54117647
55,295,350,0.68359375,-0.68571429
40,301,341,0.66601562,-0.76539589
38,305,343,0.66992188,-0.77842566
25,318,343,0.66992188,-0.85422741
19,334,353,0.68945312,-0.89235127
25,307,332,0.6484375,-0.84939759
20,322,342,0.66796875,-0.88304094
23,322,345,0.67382812,-0.86666667
28,330,358,0.69921875,-0.84357542
11,331,342,0.66796875,-0.93567251
3,349,352,0.6875,-0.98295455
0,355,355,0.69335938,-1
13,339,352,0.6875,-0.92613636
10,334,344,0.671875,-0.94186047
34,312,346,0.67578125,-0.80346821
27,318,345,0.67382812,-0.84347826
27,312,339,0.66210938,-0.84070796
30,319,349,0.68164062,-0.82808023
9,343,352,0.6875,-0.94886364
14,344,358,0.69921875,-0.92178771
10,343,353,0.68945312,-0.94334278
23,315,338,0.66015625,-0.86390533
32,317,349,0.68164062,-0.81661891
36,306,342,0.66796875,-0.78947368
29,319,348,0.6796875,-0.83333333
31,312,343,0.66992188,-0.81924198
10,340,350,0.68359375,-0.94285714
9,344,353,0.68945312,-0.9490085
12,331,343,0.66992188,-0.93002915
25,323,348,0.6796875,-0.85632184
20,329,349,0.68164062,-0.88538682
7,337,344,0.671875,-0.95930233
18,327,345,0.67382812,-0.89565217
8,339,347,0.67773438,-0.95389049
10,335,345,0.67382812,-0.94202899
5,354,359,0.70117188,-0.97214485
3,332,335,0.65429688,-0.98208955
5,354,359,0.70117188,-0.97214485
4,341,345,0.67382812,-0.97681159
0,348,348,0.6796875,-1
2,338,340,0.6640625,-0.98823529
5,347,352,0.6875,-0.97159091
22,323,345,0.67382812,-0.87246377
13,338,351,0.68554688,-0.92592593
0,357,357,0.69726562,-1
1,352,353,0.68945312,-0.99433428
4,343,347,0.67773438,-0.97694524
10,345,355,0.69335938,-0.94366197
0,357,357,0.69726562,-1
9,320,329,0.64257812,-0.94528875
0,360,360,0.703125,-1
0,352,352,0.6875,-1
12,334,346,0.67578125,-0.93063584
26,328,354,0.69140625,-0.85310734
29,312,341,0.66601562,-0.82991202
14,322,336,0.65625,-0.91666667
19,330,349,0.68164062,-0.89111748
8,343,351,0.68554688,-0.95441595
22,333,355,0.69335938,-0.87605634
15,333,348,0.6796875,-0.9137931
26,313,339,0.66210938,-0.84660767
29,326,355,0.69335938,-0.83661972
8,344,352,0.6875,-0.95454545
21,319,340,0.6640625,-0.87647059
10,333,343,0.66992188,-0.94169096
2,339,341,0.66601562,-0.98826979
11,342,353,0.68945312,-0.93767705
0,346,346,0.67578125,-1
0,362,362,0.70703125,-1
0,348,348,0.6796875,-1
8,347,355,0.69335938,-0.95492958
4,337,341,0.66601562,-0.97653959
0,347,347,0.67773438,-1
0,357,357,0.69726562,-1
7,334,341,0.66601562,-0.95894428
9,346,355,0.69335938,-0.94929577
1,338,339,0.66210938,-0.99410029
2,357,359,0.70117188,-0.98885794
24,328,352,0.6875,-0.86363636
10,345,355,0.69335938,-0.94366197
19,332,351,0.68554688,-0.89173789
10,333,343,0.66992188,-0.94169096
3,337,340,0.6640625,-0.98235294
17,326,343,0.66992188,-0.90087464
1,343,344,0.671875,-0.99418605
5,357,362,0.70703125,-0.97237569
6,350,356,0.6953125,-0.96629213
10,342,352,0.6875,-0.94318182
3,344,347,0.67773438,-0.98270893
5,345,350,0.68359375,-0.97142857
21,328,349,0.68164062,-0.87965616
4,345,349,0.68164062,-0.97707736
0,350,350,0.68359375,-1
2,354,356,0.6953125,-0.98876404
1,350,351,0.68554688,-0.99430199
1,356,357,0.69726562,-0.99439776
0,342,342,0.66796875,-1
5,363,368,0.71875,-0.97282609
3,356,359,0.70117188,-0.98328691
0,358,358,0.69921875,-1
2,338,340,0.6640625,-0.98823529
16,340,356,0.6953125,-0.91011236
1,341,342,0.66796875,-0.99415205
12,337,349,0.68164062,-0.93123209
