n_hor,n_ver,n_tot,eta,S
154,155,309,0.60351562,-0.003236246
83,232,315,0.61523438,-0.47301587
105,197,302,0.58984375,-0.30463576
108,206,314,0.61328125,-0.31210191
138,175,313,0.61132812,-0.11821086
168,152,320,0.625,0.05
180,135,315,0.61523438,0.14285714
215,108,323,0.63085938,0.33126935
204,112,316,0.6171875,0.29113924
200,115,315,0.61523438,0.26984127
217,100,317,0.61914062,0.36908517
236,86,322,0.62890625,0.46583851
161,146,307,0.59960938,0.048859935
136,172,308,0.6015625,-0.11688312
97,224,321,0.62695312,-0.39563863
30,298,328,0.640625,-0.81707317
17,311,328,0.640625,-0.89634146
13,312,325,0.63476562,-0.92
10,317,327,0.63867188,-0.93883792
1,319,320,0.625,-0.99375
14,301,315,0.61523438,-0.91111111
62,258,320,0.625,-0.6125
34,290,324,0.6328125,-0.79012346
12,311,323,0.63085938,-0.92569659
22,287,309,0.60351562,-0.85760518
15,308,323,0.63085938,-0.90712074
10,310,320,0.625,-0.9375
18,302,320,0.625,-0.8875
35,283,318,0.62109375,-0.77987421
17,300,317,0.61914062,-0.89274448
8,317,325,0.63476562,-0.95076923
16,301,317,0.61914062,-0.89905363
4,325,329,0.64257812,-0.97568389
4,327,331,0.64648438,-0.97583082
11,318,329,0.64257812,-0.9331307
17,310,327,0.63867188,-0.89602446
99,206,305,0.59570312,-0.35081967
99,202,301,0.58789062,-0.34219269
79,238,317,0.61914062,-0.50157729
102,216,318,0.62109375,-0.35849057
75,238,313,0.61132812,-0.52076677
39,287,326,0.63671875,-0.7607362
43,265,308,0.6015625,-0.72077922
64,252,316,0.6171875,-0.59493671
107,195,302,0.58984375,-0.29139073
36,269,305,0.59570312,-0.76393443
3,326,329,0.64257812,-0.98176292
15,305,320,0.625,-0.90625
11,310,321,0.62695312,-0.93146417
5,316,321,0.62695312,-0.96884735
17,291,308,0.6015625,-0.88961039
18,307,325,0.63476562,-0.88923077
22,294,316,0.6171875,-0.86075949
18,299,317,0.61914062,-0.88643533
10,306,316,0.6171875,-0.93670886
29,281,310,0.60546875,-0.81290323
8,314,322,0.62890625,-0.95031056
30,277,307,0.59960938,-0.80456026
2,337,339,0.66210938,-0.98820059
72,226,298,0.58203125,-0.51677852
36,276,312,0.609375,-0.76923077
60,250,310,0.60546875,-0.61290323
9,316,325,0.63476562,-0.94461538
22,294,316,0.6171875,-0.86075949
39,275,314,0.61328125,-0.75159236
8,320,328,0.640625,-0.95121951
6,309,315,0.61523438,-0.96190476
8,297,305,0.59570312,-0.94754098
15,296,311,0.60742188,-0.90353698
10,311,321,0.62695312,-0.9376947
64,259,323,0.63085938,-0.60371517
89,219,308,0.6015625,-0.42207792
114,184,298,0.58203125,-0.23489933
138,178,316,0.6171875,-0.12658228
158,157,315,0.61523438,0.0031746032
106,189,295,0.57617188,-0.28135593
80,226,306,0.59765625,-0.47712418
70,241,311,0.60742188,-0.54983923
82,234,316,0.6171875,-0.48101266
90,208,298,0.58203125,-0.39597315
80,253,333,0.65039062,-0.51951952
86,237,323,0.63085938,-0.46749226
111,190,301,0.58789062,-0.26245847
125,183,308,0.6015625,-0.18831169
78,243,321,0.62695312,-0.51401869
82,235,317,0.61914062,-0.48264984
87,230,317,0.61914062,-0.4511041
85,241,326,0.63671875,-0.47852761
31,278,309,0.60351562,-0.79935275
89,225,314,0.61328125,-0.43312102
116,200,316,0.6171875,-0.26582278
120,193,313,0.61132812,-0.23322684
105,216,321,0.62695312,-0.34579439
91,212,303,0.59179688,-0.39933993
66,248,314,0.61328125,-0.57961783
11,307,318,0.62109375,-0.93081761
30,294,324,0.6328125,-0.81481481
12,290,302,0.58984375,-0.9205298
40,256,296,0.578125,-0.72972973
16,301,317,0.61914062,-0.89905363
17,298,315,0.61523438,-0.89206349
71,247,318,0.62109375,-0.55345912
3,324,327,0.63867188,-0.98165138
14,318,332,0.6484375,-0.91566265
22,287,309,0.60351562,-0.85760518
0,325,325,0.63476562,-1
7,301,308,0.6015625,-0.95454545
12,310,322,0.62890625,-0.92546584
30,279,309,0.60351562,-0.80582524
51,259,310,0.60546875,-0.67096774
26,292,318,0.62109375,-0.83647799
16,291,307,0.59960938,-0.89576547
45,265,310,0.60546875,-0.70967742
32,291,323,0.63085938,-0.80185759
37,285,322,0.62890625,-0.77018634
101,223,324,0.6328125,-0.37654321
162,147,309,0.60351562,0.048543689
119,183,302,0.58984375,-0.21192053
71,246,317,0.61914062,-0.55205047
24,289,313,0.61132812,-0.84664537
39,290,329,0.64257812,-0.76291793
92,239,331,0.64648438,-0.44410876
87,218,305,0.59570312,-0.4295082
100,223,323,0.63085938,-0.38080495
67,242,309,0.60351562,-0.56634304
41,277,318,0.62109375,-0.74213836
55,262,317,0.61914062,-0.65299685
64,251,315,0.61523438,-0.59365079
36,281,317,0.61914062,-0.77287066
28,276,304,0.59375,-0.81578947
15,300,315,0.61523438,-0.9047619
12,313,325,0.63476562,-0.92615385
14,309,323,0.63085938,-0.91331269
8,309,317,0.61914062,-0.94952681
9,318,327,0.63867188,-0.94495413
10,316,326,0.63671875,-0.93865031
29,273,302,0.58984375,-0.80794702
58,241,299,0.58398438,-0.61204013
83,228,311,0.60742188,-0.46623794
68,260,328,0.640625,-0.58536585
38,281,319,0.62304688,-0.76175549
21,283,304,0.59375,-0.86184211
51,268,319,0.62304688,-0.68025078
91,219,310,0.60546875,-0.41290323
105,216,321,0.62695312,-0.34579439
76,243,319,0.62304688,-0.52351097
35,278,313,0.61132812,-0.77635783
9,311,320,0.625,-0.94375
1,327,328,0.640625,-0.99390244
9,311,320,0.625,-0.94375
18,310,328,0.640625,-0.8902439
55,250,305,0.59570312,-0.63934426
61,257,318,0.62109375,-0.6163522
39,272,311,0.60742188,-0.74919614
12,313,325,0.63476562,-0.92615385
39,274,313,0.61132812,-0.75079872
6,297,303,0.59179688,-0.96039604
15,311,326,0.63671875,-0.90797546
3,317,320,0.625,-0.98125
20,305,325,0.63476562,-0.87692308
17,294,311,0.60742188,-0.89067524
36,284,320,0.625,-0.775
82,236,318,0.62109375,-0.48427673
25,281,306,0.59765625,-0.83660131
50,260,310,0.60546875,-0.67741935
42,281,323,0.63085938,-0.73993808
14,307,321,0.62695312,-0.91277259
1,328,329,0.64257812,-0.99392097
1,319,320,0.625,-0.99375
23,295,318,0.62109375,-0.85534591
28,294,322,0.62890625,-0.82608696
21,304,325,0.63476562,-0.87076923
5,326,331,0.64648438,-0.96978852
26,306,332,0.6484375,-0.84337349
44,279,323,0.63085938,-0.72755418
21,292,313,0.61132812,-0.8658147
40,263,303,0.59179688,-0.7359736
68,249,317,0.61914062,-0.57097792
55,268,323,0.63085938,-0.65944272
44,286,330,0.64453125,-0.73333333
27,297,324,0.6328125,-0.83333333
4,323,327,0.63867188,-0.97553517
42,262,304,0.59375,-0.72368421
9,298,307,0.59960938,-0.94136808
13,308,321,0.62695312,-0.91900312
33,288,321,0.62695312,-0.79439252
29,276,305,0.59570312,-0.80983607
25,294,319,0.62304688,-0.84326019
29,289,318,0.62109375,-0.81761006
26,282,308,0.6015625,-0.83116883
14,302,316,0.6171875,-0.91139241
18,292,310,0.60546875,-0.88387097
32,274,306,0.59765625,-0.79084967
15,314,329,0.64257812,-0.90881459
11,305,316,0.6171875,-0.93037975
4,320,324,0.6328125,-0.97530864
29,278,307,0.59960938,-0.81107492
19,302,321,0.62695312,-0.88161994
25,296,321,0.62695312,-0.84423676
15,304,319,0.62304688,-0.90595611
49,271,320,0.625,-0.69375
38,287,325,0.63476562,-0.76615385
66,238,304,0.59375,-0.56578947
40,266,306,0.59765625,-0.73856209
5,308,313,0.61132812,-0.96805112
5,322,327,0.63867188,-0.96941896
17,306,323,0.63085938,-0.89473684
23,300,323,0.63085938,-0.85758514
23,299,322,0.62890625,-0.85714286
16,310,326,0.63671875,-0.90184049
10,308,318,0.62109375,-0.93710692
10,319,329,0.64257812,-0.93920973
45,282,327,0.63867188,-0.72477064
39,298,337,0.65820312,-0.76854599
41,267,308,0.6015625,-0.73376623
50,277,327,0.63867188,-0.6941896
21,287,308,0.6015625,-0.86363636
9,319,328,0.640625,-0.94512195
4,320,324,0.6328125,-0.97530864
11,313,324,0.6328125,-0.93209877
20,297,317,0.61914062,-0.87381703
107,211,318,0.62109375,-0.32704403
105,185,290,0.56640625,-0.27586207
36,297,333,0.65039062,-0.78378378
20,298,318,0.62109375,-0.87421384
20,302,322,0.62890625,-0.8757764
13,318,331,0.64648438,-0.92145015
35,279,314,0.61328125,-0.77707006
21,291,312,0.609375,-0.86538462
53,259,312,0.609375,-0.66025641
57,264,321,0.62695312,-0.64485981
25,296,321,0.62695312,-0.84423676
0,334,334,0.65234375,-1
54,263,317,0.61914062,-0.65930599
63,247,310,0.60546875,-0.59354839
97,215,312,0.609375,-0.37820513
83,246,329,0.64257812,-0.49544073
75,247,322,0.62890625,-0.53416149
118,198,316,0.6171875,-0.25316456
187,120,307,0.59960938,0.21824104
256,60,316,0.6171875,0.62025316
310,13,323,0.63085938,0.91950464
308,12,320,0.625,0.925
267,41,308,0.6015625,0.73376623
257,57,314,0.61328125,0.63694268
250,63,313,0.61132812,0.59744409
296,29,325,0.63476562,0.82153846
228,68,296,0.578125,0.54054054
155,137,292,0.5703125,0.061643836
144,150,294,0.57421875,-0.020408163
214,92,306,0.59765625,0.39869281
144,148,292,0.5703125,-0.01369863
82,226,308,0.6015625,-0.46753247
36,269,305,0.59570312,-0.76393443
45,267,312,0.609375,-0.71153846
48,264,312,0.609375,-0.69230769
48,272,320,0.625,-0.7
29,287,316,0.6171875,-0.8164557
44,261,305,0.59570312,-0.71147541
27,282,309,0.60351562,-0.82524272
41,276,317,0.61914062,-0.74132492
11,312,323,0.63085938,-0.93188854
1,327,328,0.640625,-0.99390244
17,287,304,0.59375,-0.88815789
8,309,317,0.61914062,-0.94952681
12,323,335,0.65429688,-0.92835821
9,311,320,0.625,-0.94375
11,311,322,0.62890625,-0.93167702
32,271,303,0.59179688,-0.78877888
16,315,331,0.64648438,-0.90332326
27,280,307,0.59960938,-0.82410423
40,275,315,0.61523438,-0.74603175
65,264,329,0.64257812,-0.60486322
13,303,316,0.6171875,-0.91772152
35,287,322,0.62890625,-0.7826087
43,276,319,0.62304688,-0.73040752
47,261,308,0.6015625,-0.69480519
57,255,312,0.609375,-0.63461538
34,282,316,0.6171875,-0.78481013
69,235,304,0.59375,-0.54605263
64,248,312,0.609375,-0.58974359
92,206,298,0.58203125,-0.38255034
70,250,320,0.625,-0.5625
71,257,328,0.640625,-0.56707317
33,292,325,0.63476562,-0.79692308
30,297,327,0.63867188,-0.81651376
45,265,310,0.60546875,-0.70967742
72,247,319,0.62304688,-0.54858934
119,180,299,0.58398438,-0.20401338
100,211,311,0.60742188,-0.35691318
100,209,309,0.60351562,-0.35275081
119,194,313,0.61132812,-0.23961661
100,206,306,0.59765625,-0.34640523
121,190,311,0.60742188,-0.22186495
91,233,324,0.6328125,-0.4382716
66,236,302,0.58984375,-0.56291391
152,167,319,0.62304688,-0.047021944
218,101,319,0.62304688,0.36677116
295,37,332,0.6484375,0.77710843
235,77,312,0.609375,0.50641026
277,37,314,0.61328125,0.76433121
249,69,318,0.62109375,0.56603774
165,166,331,0.64648438,-0.003021148
175,133,308,0.6015625,0.13636364
235,90,325,0.63476562,0.44615385
219,91,310,0.60546875,0.41290323
225,91,316,0.6171875,0.42405063
221,92,313,0.61132812,0.41214058
232,87,319,0.62304688,0.45454545
156,161,317,0.61914062,-0.015772871
145,166,311,0.60742188,-0.067524116
69,243,312,0.609375,-0.55769231
47,263,310,0.60546875,-0.69677419
36,268,304,0.59375,-0.76315789
49,267,316,0.6171875,-0.68987342
37,284,321,0.62695312,-0.7694704
33,280,313,0.61132812,-0.78913738
45,262,307,0.59960938,-0.70684039
11,302,313,0.61132812,-0.92971246
16,293,309,0.60351562,-0.89644013
1,324,325,0.63476562,-0.99384615
64,262,326,0.63671875,-0.60736196
2,311,313,0.61132812,-0.98722045
4,319,323,0.63085938,-0.9752322
11,308,319,0.62304688,-0.93103448
36,288,324,0.6328125,-0.77777778
50,275,325,0.63476562,-0.69230769
83,235,318,0.62109375,-0.47798742
47,269,316,0.6171875,-0.70253165
57,257,314,0.61328125,-0.63694268
24,282,306,0.59765625,-0.84313725
29,284,313,0.61132812,-0.81469649
60,249,309,0.60351562,-0.61165049
59,263,322,0.62890625,-0.63354037
45,276,321,0.62695312,-0.71962617
65,267,332,0.6484375,-0.60843373
